Cell ID,RNC ID,RNC Name,Node B Name,Cell Name,Lat0,Lon0,Height [Meters],Azimuth [decimal degrees],Alpha1,Alpha 2,Horizontal Beam Width [decimal degrees],MHz,TA ,SECTOR,R,Lat [Radians],Lon [Radians],Cover,Azimuth [Radians],Cell ID,Lat New,Lon New,Alpha1 [Radians],Alpha2 [Radians],Lat1,Lon1,Lat2,Lon2,IMSI
44011,13,RNC_KOT,ABO_008U,U_ABO_008_1,40.282917,44.645139,26,5,-39,49,88,2100,"2,083.20",Sector 1,6378000,0.703069534,0.779204671,1200,0.087266463,44011,40.29365599,44.64621895,-0.680678408,0.855211333,40.2912943,44.63732574,40.28998884,44.65451921,12499
44012,13,RNC_KOT,ABO_008U,U_ABO_008_2,40.282917,44.645139,26,245,201,289,88,2100,"2,682.00",Sector 2,6378000,0.703069534,0.779204671,1200,4.276056667,44012,40.27836046,44.63376485,3.508111797,5.044001538,40.27285288,44.64062075,40.28642586,44.63335231,24917
44015,13,RNC_KOT,ABO_008U,U_ABO_008_5,40.282917,44.645139,26,245,201,289,88,2100,"2,373.50",Sector 2,6378000,0.703069534,0.779204671,1200,4.276056667,44015,40.27836046,44.63376485,3.508111797,5.044001538,40.27285288,44.64062075,40.28642586,44.63335231,15203
64017,13,RNC_KOT,ABO_008U,U_ABO_008_A,40.282917,44.645139,26,5,-27.5,37.5,65,900,"2,844.30",Sector 1,6378000,0.703069534,0.779204671,1200,0.087266463,64017,40.29365599,44.64621895,-0.479965544,0.654498469,40.29247881,44.63941186,40.29146904,44.65269592,8224
64018,13,RNC_KOT,ABO_008U,U_ABO_008_B,40.282917,44.645139,26,245,212.5,277.5,65,900,"2,602.30",Sector 2,6378000,0.703069534,0.779204671,1200,4.276056667,64018,40.27836046,44.63376485,3.70882466,4.843288674,40.27382498,44.63837031,40.28432323,44.63275812,14048
43931,13,RNC_KOT,ABO_009U,U_ABO_009_1,40.29025,44.642833,16.5,10,-34,54,88,2100,487.9,Sector 1,6378000,0.703197519,0.779164423,1200,0.174532925,43931,40.30086622,44.64497175,-0.593411946,0.942477796,40.29918677,44.63593605,40.29658577,44.65283282,12653
43932,13,RNC_KOT,ABO_009U,U_ABO_009_2,40.29025,44.642833,16.5,160,116,204,88,2100,561.4,Sector 2,6378000,0.703197519,0.779164423,1200,2.792526803,43932,40.28012,44.64711892,2.024581932,3.560471674,40.28552366,44.65404532,40.28040182,44.6377373,4544
43933,13,RNC_KOT,ABO_009U,U_ABO_009_3,40.29025,44.642833,16.5,280,236,324,88,2100,907.5,Sector 3,6378000,0.703197519,0.779164423,1200,4.886921906,43933,40.2921211,44.63061502,4.118977035,5.654866776,40.2842213,44.63247965,40.29897092,44.6355821,6098
43934,13,RNC_KOT,ABO_009U,U_ABO_009_4,40.29025,44.642833,16.5,10,-34,54,88,2100,435.9,Sector 1,6378000,0.703197519,0.779164423,1200,0.174532925,43934,40.30086622,44.64497175,-0.593411946,0.942477796,40.29918677,44.63593605,40.29658577,44.65283282,8164
63937,13,RNC_KOT,ABO_009U,U_ABO_009_A,40.29025,44.642833,16.5,10,-22.5,42.5,65,900,694.1,Sector 1,6378000,0.703197519,0.779164423,1200,0.174532925,63937,40.30086622,44.64497175,-0.392699082,0.741764932,40.30020931,44.63811708,40.29819747,44.65117242,2483
